,Police Department,Officers per 10K Population,Officers,Total Employees per 10K Population,Total Employees
422,"Wyoming, Michigan",11.5,87,13.4,102
423,"Evanston, Illinois",21.9,166,30.0,227
424,"Missouri City, Texas",13.5,102,17.3,131
425,"Iowa City, Iowa",10.6,80,13.6,103
426,"Union City, California",9.9,75,13.8,104
427,"Layton, Utah",9.9,75,14.2,107
428,"Jonesboro, Arkansas",20.6,155,24.2,182
429,"Boynton Beach, Florida",19.7,148,26.9,202
430,"Gastonia, North Carolina",22.6,170,25.6,192
431,"Bethlehem, Pennsylvania",19.8,148,19.8,148
432,"Brick Township, New Jersey",17.9,134,26.2,196
433,"Franklin, Tennessee",17.1,128,18.6,139
434,"Rapid City, South Dakota",15.3,114,19.2,143
435,"Bolingbrook, Illinois",14.6,109,16.7,124
436,"Appleton, Wisconsin",14.8,110,18.4,137
437,"Warner Robins, Georgia",14.0,104,19.6,146
438,"Albany, Georgia",21.8,162,25.0,186
439,"Southfield, Michigan",16.5,121,20.4,150
440,"Temple, Texas",19.6,144,24.2,178
441,"New Braunfels, Texas",16.0,117,19.4,142
442,"Waterford Township, Michigan",7.2,53,9.5,70
443,"Bismarck, North Dakota",15.7,115,19.8,145
444,"Turlock, California",10.7,78,16.0,117
445,"New Britain, Connecticut",22.1,161,23.2,169
446,"Decatur, Illinois",21.7,158,26.0,189
447,"Gulfport, Mississippi",21.1,153,28.5,207
448,"Flower Mound, Texas",11.2,81,16.7,121
449,"Rock Hill, South Carolina",20.7,150,26.7,194
450,"Lauderhill, Florida",13.5,98,17.0,123
451,"Waukesha, Wisconsin",16.3,118,20.8,150
452,"Wilmington, Delaware",41.8,302,49.9,360
453,"Missoula, Montana",14.5,104,18.1,130
454,"Pawtucket, Rhode Island",19.3,138,23.7,170
455,"Redlands, California",11.2,80,16.5,118
456,"Framingham, Massachusetts",20.2,144,22.1,158
457,"Kissimmee, Florida",17.7,126,30.9,220
458,"Flagstaff, Arizona",14.3,102,21.1,150
459,"Conroe, Texas",16.6,118,22.8,162
460,"Cherry Hill Township, New Jersey",19.6,139,23.4,166
461,"Pasco, Washington",10.0,71,11.7,83
462,"Passaic, New Jersey",21.7,154,25.4,180
463,"Pittsburg, California",10.9,77,13.6,96
464,"North Richland Hills, Texas",15.6,110,26.4,186
465,"Frederick, Maryland",21.0,148,26.5,186
466,"South Jordan, Utah",7.1,50,8.3,58
467,"Walnut Creek, California",12.2,85,16.9,118
468,"Maple Grove, Minnesota",9.5,66,11.3,79
469,"Bossier City, Louisiana",23.2,161,28.8,200
470,"St. Charles, Missouri",15.9,110,21.9,152
471,"Union City, New Jersey",23.4,162,35.9,249
472,"Dothan, Alabama",23.3,161,33.7,233
473,"Cedar Park, Texas",11.6,80,16.8,116
474,"Woodbury, Minnesota",9.7,67,11.4,79
475,"Northern York Regional, Pennsylvania",7.1,49,7.7,53
476,"Mount Vernon, New York",27.9,192,37.9,261
477,"Victoria, Texas",15.6,107,20.7,142
478,"Waterloo, Iowa",18.1,124,19.4,133
479,"Redondo Beach, California",13.4,92,20.9,143
480,"Marysville, Washington",9.4,64,12.9,88
481,"Davis, California",8.8,60,13.4,91
482,"Eau Claire, Wisconsin",14.5,99,19.7,134
483,"South San Francisco, California",11.8,80,16.2,110
484,"Homestead, Florida",16.5,112,22.5,152
485,"Georgetown, Texas",11.9,80,17.3,117
486,"Delray Beach, Florida",23.0,155,31.6,213
487,"North Little Rock, Arkansas",26.4,178,31.9,215
488,"St. Cloud, Minnesota",15.6,105,19.6,132
489,"Palo Alto, California",11.7,79,20.4,137
490,"Old Bridge Township, New Jersey",13.4,90,17.4,117
491,"Yuba City, California",7.7,52,11.6,78
492,"Kenner, Louisiana",24.9,167,34.5,232
493,"Portland, Maine",23.4,157,32.2,216
494,"Jackson, Tennessee",31.6,212,38.2,256
495,"Broomfield, Colorado",16.1,108,31.2,209
496,"Franklin Township, New Jersey",15.6,104,18.6,124
497,"Eagan, Minnesota",10.5,70,12.4,83
498,"Jacksonville, North Carolina",17.2,115,21.4,143
499,"Oshkosh, Wisconsin",14.7,98,16.8,112
500,"Bayonne, New Jersey",27.3,182,42.6,284
501,"Johnson City, Tennessee",22.3,148,26.6,177
502,"Ames, Iowa",7.8,52,11.5,76
503,"West Bloomfield Township, Michigan",10.6,70,15.6,103
504,"Conway, Arkansas",19.1,126,25.1,166
505,"Middletown Township, New Jersey",17.0,112,20.5,135
506,"Harlingen, Texas",19.7,130,25.8,170
507,"Mansfield, Texas",14.4,95,34.2,225
508,"Greenville, South Carolina",27.7,182,35.0,230
509,"West Des Moines, Iowa",9.6,63,11.9,78
510,"Shawnee, Kansas",13.6,89,16.6,109
511,"Tamarac, Florida",12.4,81,15.1,99
512,"Daytona Beach, Florida",33.3,218,38.2,250
513,"Schenectady, New York",22.4,146,26.3,171
514,"Lodi, California",10.3,67,14.9,97
515,"Santa Cruz, California",14.3,93,17.7,115
516,"East Orange, New Jersey",31.6,205,40.4,262
517,"Madera, California",9.3,60,12.0,78
518,"Rogers, Arkansas",15.2,98,21.5,139
519,"Buckeye, Arizona",13.3,86,17.3,112
520,"Bowling Green, Kentucky",18.0,116,23.4,151
521,"San Marcos, Texas",16.0,103,22.2,143
522,"Jupiter, Florida",17.7,114,22.1,142
523,"Janesville, Wisconsin",15.1,97,16.8,108
524,"Montebello, California",10.3,66,15.4,99
525,"Youngstown, Ohio",23.2,149,30.1,193
526,"Cheyenne, Wyoming",15.9,102,19.2,123
527,"Eden Prairie, Minnesota",10.5,67,14.5,93
528,"Auburn, Alabama",17.2,110,18.2,116
529,"Waltham, Massachusetts",22.5,143,26.7,170
530,"Gloucester Township, New Jersey",19.7,125,23.2,147
531,"North Port, Florida",15.5,98,20.0,127
532,"Blaine, Minnesota",9.3,59,11.1,70
533,"North Bergen Township, New Jersey",19.0,120,20.6,130
534,"West Hartford, Connecticut",20.3,128,23.2,146
535,"North Miami, Florida",18.1,114,25.4,160
536,"Greenwich, Connecticut",24.0,151,28.3,178
537,"Tulare, California",11.4,72,17.3,109
538,"Haverhill, Massachusetts",14.6,92,16.5,104
539,"Council Bluffs, Iowa",17.4,109,20.6,129
540,"La Habra, California",11.0,69,15.8,99
541,"Hamilton, Ohio",17.8,111,19.2,120
542,"Coon Rapids, Minnesota",10.1,63,11.2,70
543,"Rocklin, California",8.9,55,12.7,79
544,"Redmond, Washington",12.8,79,19.9,123
545,"Fairfield, Connecticut",17.3,107,18.3,113
546,"Monterey Park, California",11.2,69,15.9,98
547,"Burnsville, Minnesota",12.0,74,13.5,83
548,"Lakeville, Minnesota",8.9,55,10.4,64
549,"National City, California",14.0,86,19.5,120
550,"Moore, Oklahoma",14.3,88,15.1,93
551,"Casper, Wyoming",15.2,93,21.0,129
552,"Taylor, Michigan",12.1,74,14.7,90
553,"Springfield, Oregon",10.6,65,15.7,96
554,"Hamden, Connecticut",17.7,108,22.1,135
555,"Malden, Massachusetts",16.5,101,18.7,114
556,"West Chester Township, Ohio",13.6,83,17.4,106
557,"Rowlett, Texas",12.4,76,16.7,102
558,"Petaluma, California",9.5,58,13.5,82
559,"Battle Creek, Michigan",17.9,109,20.5,125
560,"Utica, New York",26.8,163,29.6,180
561,"Vineland, New Jersey",21.7,132,25.8,157
562,"Lehi, Utah",7.7,47,8.7,53
563,"Gardena, California",15.6,95,19.6,119
564,"La Mesa, California",11.2,68,16.0,97
565,"Coconut Creek, Florida",15.8,96,21.4,130
566,"Grand Junction, Colorado",18.3,111,32.5,197
567,"West Allis, Wisconsin",20.8,126,25.3,153
568,"Port Orange, Florida",14.0,85,16.4,99
569,"Brentwood, California",10.2,62,13.7,83
570,"Bristol, Connecticut",19.5,118,23.7,143
571,"Bensalem Township, Pennsylvania",16.4,99,20.2,122
572,"Lakewood, Washington",16.0,96,18.6,112
573,"Chapel Hill, North Carolina",17.3,104,21.2,127
574,"St. Clair Shores, Michigan",13.5,81,14.3,86
575,"Meriden, Connecticut",18.9,113,20.9,125
576,"Great Falls, Montana",14.7,88,21.8,130
577,"Huntington Park, California",8.5,51,14.4,86
578,"Idaho Falls, Idaho",14.6,87,22.1,132
579,"Marietta, Georgia",23.0,137,29.4,175
580,"Springfield, Ohio",20.2,120,22.2,132
581,"Novi, Michigan",10.4,62,14.1,84
582,"San Rafael, California",10.9,65,14.5,86
583,"Royal Oak, Michigan",13.1,78,15.7,93
584,"Owensboro, Kentucky",15.2,90,22.9,136
585,"Lancaster, Pennsylvania",20.9,124,24.9,148
586,"Ankeny, Iowa",9.1,54,10.5,62
587,"Woodland, California",10.3,61,12.7,75
588,"Plymouth, Massachusetts",20.1,119,22.7,134
589,"Brookline, Massachusetts",21.9,129,26.9,159
590,"Dubuque, Iowa",17.1,101,18.3,108
591,"Orland Park, Illinois",16.6,98,21.0,124
592,"Pflugerville, Texas",13.9,82,18.5,109
593,"Bartlett, Tennessee",20.4,120,26.3,155
594,"Arcadia, California",11.2,66,15.5,91
595,"White Plains, New York",32.5,191,34.2,201
596,"Bowie, Maryland",10.7,63,13.6,80
597,"Ocala, Florida",27.1,159,39.4,231
598,"Doral, Florida",20.2,118,27.1,158
599,"Lower Merion Township, Pennsylvania",22.5,131,25.1,146
600,"Piscataway Township, New Jersey",14.6,85,18.0,105
601,"State College, Pennsylvania",9.5,55,11.2,65
602,"Union Township, New Jersey",22.9,133,31.3,182
603,"Margate, Florida",18.1,105,24.1,140
604,"Manchester, Connecticut",17.9,104,23.3,135
605,"Grand Forks, North Dakota",14.5,84,17.1,99
606,"St. Peters, Missouri",15.4,89,19.5,113
607,"Midwest City, Oklahoma",15.9,92,21.6,125
608,"Tonawanda Town, New York",17.9,103,26.2,151
609,"Medford, Massachusetts",18.0,103,18.3,105
610,"Fountain Valley, California",10.3,59,14.0,80
611,"New Brunswick, New Jersey",25.2,144,31.3,179
612,"Smyrna, Georgia",15.7,90,22.2,127
613,"Castle Rock, Colorado",12.1,69,16.3,93
614,"Hendersonville, Tennessee",18.4,105,23.2,132
615,"Chicopee, Massachusetts",23.2,132,23.9,136
616,"Oak Lawn, Illinois",19.0,108,21.8,124
617,"Taunton, Massachusetts",20.1,114,21.2,120
618,"Jackson Township, New Jersey",15.4,87,18.6,105
619,"Greenwood, Indiana",10.3,58,11.7,66
620,"Porterville, California",10.6,60,15.2,86
621,"Bellevue, Nebraska",16.3,92,19.2,108
622,"Novato, California",10.0,56,14.2,80
623,"Weymouth, Massachusetts",16.4,92,19.2,108
624,"Corvallis, Oregon",10.0,56,16.1,90
625,"Hanford, California",9.5,53,13.8,77
626,"Shoreline, Washington",9.5,53,13.1,73
627,"Valdosta, Georgia",24.2,135,28.1,157
628,"Hempstead Village, New York",21.1,118,25.1,140
629,"Dearborn Heights, Michigan",14.9,83,17.0,95
630,"Sarasota, Florida",29.2,163,37.5,209
631,"Abington Township, Pennsylvania",16.5,92,20.5,114
632,"Bradenton, Florida",21.3,118,26.1,145
633,"Port Arthur, Texas",20.2,112,26.7,148
634,"Richland, Washington",11.2,62,13.7,76
635,"Rocky Mount, North Carolina",28.9,160,36.4,202
636,"Kettering, Ohio",13.2,73,17.9,99
637,"Decatur, Alabama",24.0,133,26.7,148
638,"Commerce City, Colorado",17.3,96,21.7,120
639,"York Area Regional, Pennsylvania",8.0,44,8.7,48
640,"Colton, California",8.3,46,13.1,72
641,"Wayne Township, New Jersey",20.7,114,25.6,141
642,"Mount Prospect, Illinois",15.0,82,18.6,102
643,"West Haven, Connecticut",22.4,123,25.2,138
644,"Euless, Texas",15.3,84,24.1,132
645,"Normal, Illinois",14.8,81,17.0,93
646,"Pocatello, Idaho",16.2,88,23.3,127
647,"Blue Springs, Missouri",18.0,98,25.9,141
648,"Irvington, New Jersey",29.0,158,35.8,195
649,"Cathedral City, California",9.0,49,13.6,74
650,"Gilroy, California",11.5,62,16.1,87
651,"Watsonville, California",12.6,68,15.9,86
652,"Hoboken, New Jersey",23.3,126,26.8,145
653,"Millcreek Township, Pennsylvania",11.5,62,14.4,78
654,"Bristol Township, Pennsylvania",11.3,61,12.6,68
655,"Huntersville, North Carolina",15.8,85,16.9,91
656,"Wheaton, Illinois",12.3,66,15.2,82
657,"West New York, New Jersey",20.3,109,22.1,119
658,"Palm Beach Gardens, Florida",20.1,108,29.5,159
659,"Milford, Connecticut",21.6,116,25.7,138
660,"Lake Havasu City, Arizona",12.7,68,19.2,103
661,"Elyria, Ohio",14.7,79,17.5,94
662,"West Sacramento, California",12.9,69,16.6,89
663,"Revere, Massachusetts",18.3,98,20.0,107
664,"Parsippany-Troy Hills Township, New Jersey",19.3,103,23.2,124
665,"Pensacola, Florida",26.2,140,37.4,200
666,"Sammamish, Washington",6.0,32,7.5,40
667,"Lenexa, Kansas",16.5,88,24.0,128
668,"DeSoto, Texas",12.2,65,22.6,120
669,"Kingsport, Tennessee",21.3,113,28.8,153
