,d_2000,d_2001,d_2002,d_2003,d_2004,d_2005,d_2006,d_2007,d_2008,d_2009,d_2010,d_2011,d_2012,d_2013,d_2014,d_2015,d_2016,d_2017,d_2018,d_2019,d_2020,change,%_change,Total Employees,population,police_hthou,city,party
0,0.17670342097823014,0.17670342097823014,0.35340684195646027,0.5301102629346904,0.17670342097823014,0.5301102629346904,,0.35340684195646027,0.17670342097823014,,0.35340684195646027,,0.35340684195646027,0.17670342097823014,0.17670342097823014,0.7068136839129205,0.17670342097823014,0.7068136839129205,0.5301102629346904,0.35340684195646027,0.5301102629346904,0.3534068419564603,200.00000000000006,484.0,565920.0,85.52445575346339,"Akron, OH",blue
1,1.2629930409083447,,,,,,,,,,,1.2629930409083447,,1.2629930409083447,,,,1.2629930409083447,1.2629930409083447,,,,,110.0,79177.0,138.9292344999179,"Alameda, CA",blue
2,0.16742846618782126,,0.16742846618782126,0.16742846618782126,,,,,,,0.16742846618782126,0.3348569323756425,,,,0.16742846618782126,,,0.16742846618782126,,,,,433.0,597270.0,72.4965258593266,"Albany, NY",blue
3,1.3141295206055508,,,,,1.3141295206055508,,,,,,,,1.3141295206055508,,,,,,,,,,69.0,76096.0,90.67493692178302,"Altoona, PA",red
4,1.4558018556620986,,0.48526728522069956,2.426336426103498,,0.48526728522069956,,0.9705345704413991,0.48526728522069956,,0.9705345704413991,1.9410691408827982,0.9705345704413991,1.4558018556620986,2.426336426103498,0.9705345704413991,1.4558018556620986,0.9705345704413991,1.4558018556620986,1.9410691408827982,0.48526728522069956,-0.970534570441399,-66.66666666666666,411.0,206072.0,199.44485422570753,"Amarillo, TX",red
5,0.28369035764843387,,0.5673807152968677,1.1347614305937355,0.28369035764843387,0.5673807152968677,1.1347614305937355,0.5673807152968677,0.8510710729453016,1.7021421458906032,0.28369035764843387,0.5673807152968677,1.4184517882421694,,1.4184517882421694,0.8510710729453016,1.4184517882421694,0.5673807152968677,1.1347614305937355,0.8510710729453016,0.5673807152968677,0.28369035764843387,100.0,562.0,352497.0,159.43398099841983,"Anaheim, CA",blue
6,1.6021532940271725,,,,,1.6021532940271725,,,,1.6021532940271725,,,,,1.6021532940271725,,,,1.6021532940271725,,,,,62.0,62416.0,99.33350422968469,"Ankeny, IA",blue
7,0.09562514941429595,0.1721252689457327,0.1912502988285919,0.07650011953143676,0.11475017929715516,0.15300023906287352,0.2486253884771695,0.03825005976571838,0.1912502988285919,0.01912502988285919,0.09562514941429595,0.1721252689457327,0.1721252689457327,0.11475017929715516,0.05737508964857758,0.09562514941429595,0.11475017929715516,0.1721252689457327,0.1912502988285919,0.1912502988285919,0.2868754482428879,0.19125029882859196,200.00000000000006,2140.0,5228750.0,40.927563949318674,"Atlanta, GA",blue
8,0.5455195118691408,1.0910390237382817,,1.0910390237382817,0.5455195118691408,0.2727597559345704,0.5455195118691408,0.2727597559345704,0.2727597559345704,0.2727597559345704,,1.6365585356074224,0.8182792678037112,0.2727597559345704,0.5455195118691408,1.0910390237382817,0.5455195118691408,,1.9093182915419926,1.363798779672852,0.8182792678037112,0.27275975593457036,49.999999999999986,810.0,366623.0,220.935402307002,"Aurora, CO",blue
9,0.06102338660268161,0.12204677320536322,0.06102338660268161,0.12204677320536322,0.12204677320536322,0.18307015980804484,0.06102338660268161,0.24409354641072645,0.06102338660268161,0.18307015980804484,0.24409354641072645,0.18307015980804484,0.18307015980804484,0.36614031961608967,0.42716370621877126,0.4881870928214529,0.42716370621877126,0.36614031961608967,0.36614031961608967,0.4881870928214529,0.24409354641072645,0.18307015980804484,300.0,2361.0,1638716.0,144.0762157689313,"Austin, TX",blue
10,0.34821245138083645,0.5223186770712547,,,1.5669560312137643,0.6964249027616729,0.6964249027616729,1.0446373541425094,0.34821245138083645,1.5669560312137643,0.6964249027616729,1.5669560312137643,0.34821245138083645,1.7410622569041825,0.8705311284520912,1.3928498055233458,1.2187435798329276,1.3928498055233458,0.5223186770712547,0.8705311284520912,2.263380933975437,1.9151684825946007,550.0000000000001,530.0,574362.0,92.27629961592167,"Bakersfield, CA",red
11,0.46072248657454673,0.1842889946298187,0.09214449731490935,0.1842889946298187,0.1842889946298187,0.27643349194472805,0.27643349194472805,0.6450114812043655,0.3685779892596374,0.5528669838894561,0.27643349194472805,0.23036124328727337,0.5989392325469107,0.7371559785192748,0.32250574060218273,0.1842889946298187,0.46072248657454673,0.27643349194472805,0.09214449731490935,0.27643349194472805,0.3685779892596374,-0.09214449731490931,-19.999999999999993,2908.0,2170504.0,133.97809909587818,"Baltimore, MD",blue
12,0.6853856922309818,0.3426928461154909,,0.17134642305774545,0.6853856922309818,0.6853856922309818,0.5140392691732364,0.5140392691732364,0.17134642305774545,0.3426928461154909,,0.3426928461154909,0.3426928461154909,0.6853856922309818,0.6853856922309818,0.6853856922309818,0.8567321152887273,1.3707713844619636,0.3426928461154909,0.5140392691732364,0.5140392691732364,-0.1713464230577454,-24.999999999999993,814.0,583613.0,139.4759883690048,"Baton Rouge, LA",blue
13,1.3020324726898689,1.3020324726898689,,,,,1.3020324726898689,,,,1.3020324726898689,,1.3020324726898689,,,1.3020324726898689,1.3020324726898689,2.6040649453797378,1.3020324726898689,2.6040649453797378,1.3020324726898689,0.0,0.0,125.0,76803.0,162.7540590862336,"Battle Creek, MI",red
