,city,%_change,party,year,value
98,"Queens, NY",33.33333333333334,blue,2002,
99,"Baltimore, MD",-19.999999999999993,blue,2002,0.09214449731490935
100,"Riverside, CA",0.0,blue,2002,0.09593481037765218
101,"Las Vegas, NV",750.0000000000002,blue,2002,0.385905756990321
102,"Portland, OR",-75.00000000000001,blue,2002,0.09742809319581683
103,"Kansas City, MO",85.71428571428572,red,2002,0.37137422700002043
104,"Virginia Beach, VA",300.0,red,2002,0.06755008670053628
105,"Jacksonville, FL",400.0,red,2002,0.43241709915583537
106,"Oklahoma City, OK",37.50000000000001,red,2002,0.3138081878832382
107,"Sarasota, FL",0.0,red,2002,0.1415939227888339
108,"Tulsa, OK",49.999999999999986,red,2002,0.5951902674487467
109,"Colorado Springs, CO",66.6666666666667,red,2002,0.16027027979985448
110,"Bakersfield, CA",550.0000000000001,red,2002,
111,"Mesa, AZ",300.0,red,2002,0.20145003736898193
112,"Chattanooga, TN",0.0,red,2002,0.7367712718145695
113,"Spokane, WA",100.0,red,2002,0.49622496855174264
114,"Pensacola, FL",100.0,red,2002,
115,"Corpus Christi, TX",400.0,red,2002,0.8786445443495834
116,"Huntsville, AL",300.0,red,2002,0.3228764416433119
117,"Springfield, MO",100.0,red,2002,0.34816274519361334
118,"St. Petersburg, FL",149.99999999999994,red,2002,0.7597196634441892
119,"Lubbock, TX",199.99999999999997,red,2002,
120,"Chandler, AZ",0.0,red,2002,0.39454268557315214
121,"Killeen, TX",200.00000000000006,red,2002,
122,United States,102.08603018013629,,2002,0.31325489627746206
123,"Los Angeles, CA",-43.75,blue,2003,0.14825825808251353
124,"Chicago, IL",42.85714285714286,blue,2003,0.48409505690537397
125,"Miami, FL",75.0,blue,2003,0.04700745820331854
126,"Dallas, TX",1100.0,blue,2003,0.13953669283037798
127,"Philadelphia, PA",-27.27272727272727,blue,2003,0.15963435927379846
128,"Houston, TX",342.8571428571429,blue,2003,0.1836052281955939
129,"Atlanta, GA",200.00000000000006,blue,2003,0.07650011953143676
130,"Phoenix, AZ",280.0,red,2003,0.17149091012430887
131,"Seattle, WA",50.00000000000002,blue,2003,0.0548882817635056
132,"San Francisco, CA",33.333333333333336,blue,2003,0.0832463640069361
133,"Detroit, MI",-10.000000000000012,blue,2003,0.19873908567528417
134,"San Diego, CA",9.090909090909092,blue,2003,0.1245984037698493
135,"Minneapolis, MN",-16.666666666666675,blue,2003,0.1708375515972115
136,"Tampa, FL",-12.500000000000005,blue,2003,0.0713205717057028
137,"Denver, CO",166.66666666666666,blue,2003,0.4305294148459458
138,"Brooklyn, NY",-77.77777777777777,blue,2003,0.3803510640321016
139,"Queens, NY",33.33333333333334,blue,2003,0.042862274083668876
140,"Baltimore, MD",-19.999999999999993,blue,2003,0.1842889946298187
141,"Riverside, CA",0.0,blue,2003,0.14390221556647828
142,"Las Vegas, NV",750.0000000000002,blue,2003,0.43414397661411114
143,"Portland, OR",-75.00000000000001,blue,2003,0.14614213979372526
144,"Kansas City, MO",85.71428571428572,red,2003,0.618957045000034
145,"Virginia Beach, VA",300.0,red,2003,0.20265026010160886
146,"Jacksonville, FL",400.0,red,2003,0.2594502594935012
147,"Oklahoma City, OK",37.50000000000001,red,2003,0.5230136464720637
148,"Sarasota, FL",0.0,red,2003,0.1415939227888339
149,"Tulsa, OK",49.999999999999986,red,2003,0.7439878343109334
150,"Colorado Springs, CO",66.6666666666667,red,2003,0.9616216787991267
151,"Bakersfield, CA",550.0000000000001,red,2003,
152,"Mesa, AZ",300.0,red,2003,0.20145003736898193
153,"Chattanooga, TN",0.0,red,2003,0.7367712718145695
154,"Spokane, WA",100.0,red,2003,0.49622496855174264
155,"Pensacola, FL",100.0,red,2003,0.29036004645760743
156,"Corpus Christi, TX",400.0,red,2003,0.29288151478319446
157,"Huntsville, AL",300.0,red,2003,
158,"Springfield, MO",100.0,red,2003,0.6963254903872267
159,"St. Petersburg, FL",149.99999999999994,red,2003,0.3798598317220946
160,"Lubbock, TX",199.99999999999997,red,2003,0.38094512485476467
161,"Chandler, AZ",0.0,red,2003,0.7890853711463043
162,"Killeen, TX",200.00000000000006,red,2003,
163,United States,102.08603018013629,,2003,0.3357371134004805
164,"Los Angeles, CA",-43.75,blue,2004,0.14825825808251353
165,"Chicago, IL",42.85714285714286,blue,2004,0.19594323731884186
166,"Miami, FL",75.0,blue,2004,0.03133830546887902
167,"Dallas, TX",1100.0,blue,2004,0.12209460622658072
168,"Philadelphia, PA",-27.27272727272727,blue,2004,0.2128458123650646
169,"Houston, TX",342.8571428571429,blue,2004,0.1836052281955939
170,"Atlanta, GA",200.00000000000006,blue,2004,0.11475017929715516
171,"Phoenix, AZ",280.0,red,2004,0.34298182024861773
172,"Seattle, WA",50.00000000000002,blue,2004,0.16466484529051684
173,"San Francisco, CA",33.333333333333336,blue,2004,0.1664927280138722
174,"Detroit, MI",-10.000000000000012,blue,2004,0.1135651918144481
175,"San Diego, CA",9.090909090909092,blue,2004,0.09344880282738698
176,"Minneapolis, MN",-16.666666666666675,blue,2004,0.13667004127776922
177,"Tampa, FL",-12.500000000000005,blue,2004,0.0356602858528514
178,"Denver, CO",166.66666666666666,blue,2004,0.17938725618581075
179,"Brooklyn, NY",-77.77777777777777,blue,2004,0.15214042561284066
180,"Queens, NY",33.33333333333334,blue,2004,0.1714490963346755
181,"Baltimore, MD",-19.999999999999993,blue,2004,0.1842889946298187
182,"Riverside, CA",0.0,blue,2004,0.04796740518882609
183,"Las Vegas, NV",750.0000000000002,blue,2004,0.5306204158616914
184,"Portland, OR",-75.00000000000001,blue,2004,0.19485618639163366
185,"Kansas City, MO",85.71428571428572,red,2004,0.2475828180000136
186,"Virginia Beach, VA",300.0,red,2004,
187,"Jacksonville, FL",400.0,red,2004,0.2594502594935012
188,"Oklahoma City, OK",37.50000000000001,red,2004,0.7322191050608893
189,"Sarasota, FL",0.0,red,2004,0.1415939227888339
190,"Tulsa, OK",49.999999999999986,red,2004,0.7439878343109334
191,"Colorado Springs, CO",66.6666666666667,red,2004,0.6410811191994179
192,"Bakersfield, CA",550.0000000000001,red,2004,1.5669560312137643
193,"Mesa, AZ",300.0,red,2004,1.4101502615828736
194,"Chattanooga, TN",0.0,red,2004,1.473542543629139
195,"Spokane, WA",100.0,red,2004,
196,"Pensacola, FL",100.0,red,2004,0.29036004645760743
197,"Corpus Christi, TX",400.0,red,2004,0.5857630295663889
198,"Huntsville, AL",300.0,red,2004,
199,"Springfield, MO",100.0,red,2004,
200,"St. Petersburg, FL",149.99999999999994,red,2004,1.1395794951662837
201,"Lubbock, TX",199.99999999999997,red,2004,
202,"Chandler, AZ",0.0,red,2004,0.7890853711463043
203,"Killeen, TX",200.00000000000006,red,2004,
204,United States,102.08603018013629,,2004,0.3302535871465003
205,"Los Angeles, CA",-43.75,blue,2005,0.14825825808251353
206,"Chicago, IL",42.85714285714286,blue,2005,0.21899538288576442
207,"Miami, FL",75.0,blue,2005,0.09401491640663708
208,"Dallas, TX",1100.0,blue,2005,0.017442086603797247
209,"Philadelphia, PA",-27.27272727272727,blue,2005,0.17737151030422052
210,"Houston, TX",342.8571428571429,blue,2005,0.45901307048898476
211,"Atlanta, GA",200.00000000000006,blue,2005,0.15300023906287352
212,"Phoenix, AZ",280.0,red,2005,0.1959896115706387
213,"Seattle, WA",50.00000000000002,blue,2005,0.08233242264525842
214,"San Francisco, CA",33.333333333333336,blue,2005,0.0832463640069361
215,"Detroit, MI",-10.000000000000012,blue,2005,0.19873908567528417
216,"San Diego, CA",9.090909090909092,blue,2005,0.2803464084821609
217,"Minneapolis, MN",-16.666666666666675,blue,2005,0.1708375515972115
218,"Tampa, FL",-12.500000000000005,blue,2005,0.21396171511710835
219,"Denver, CO",166.66666666666666,blue,2005,0.0717549024743243
220,"Brooklyn, NY",-77.77777777777777,blue,2005,0.1901755320160508
221,"Queens, NY",33.33333333333334,blue,2005,0.12858682225100662
222,"Baltimore, MD",-19.999999999999993,blue,2005,0.27643349194472805
223,"Riverside, CA",0.0,blue,2005,0.09593481037765218
224,"Las Vegas, NV",750.0000000000002,blue,2005,0.3376675373665309
225,"Portland, OR",-75.00000000000001,blue,2005,0.14614213979372526
226,"Kansas City, MO",85.71428571428572,red,2005,0.309478522500017
227,"Virginia Beach, VA",300.0,red,2005,0.06755008670053628
228,"Jacksonville, FL",400.0,red,2005,0.43241709915583537
229,"Oklahoma City, OK",37.50000000000001,red,2005,0.7322191050608893
230,"Sarasota, FL",0.0,red,2005,0.1415939227888339
