,date,city,black,white,latino
521,2005,"Abilene, TX",,1.0472629782064575,
675,2006,"Abilene, TX",,1.0472629782064575,
1564,2011,"Abilene, TX",6.920894179527995,1.5708944673096863,
1782,2012,"Abilene, TX",6.920894179527995,2.094525956412915,3.010053578953705
2269,2014,"Abilene, TX",6.920894179527995,1.0472629782064575,2.927484545385494
3030,2017,"Abilene, TX",6.920894179527995,1.0472629782064575,2.8449155118172826
3286,2018,"Abilene, TX",6.920894179527995,1.0472629782064575,2.762346478249071
3527,2019,"Abilene, TX",6.920894179527995,1.0472629782064575,2.6797774446808598
3781,2020,"Abilene, TX",6.920894179527995,0.956189230914446,2.5972084111126486
279,2003,"Akron, OH",1.5026070231852264,0.8651154836224345,2.5146393775444373
522,2005,"Akron, OH",1.5026070231852264,0.774041736330423,2.4320703439762257
840,2007,"Akron, OH",1.5026070231852264,0.774041736330423,2.3495013104080145
1006,2008,"Akron, OH",1.5026070231852264,0.774041736330423,2.2669322768398033
1366,2010,"Akron, OH",2.2539105347778396,0.774041736330423,2.184363243271592
1783,2012,"Akron, OH",3.005214046370453,0.774041736330423,2.101794209703381
2008,2013,"Akron, OH",2.2539105347778396,0.774041736330423,2.019225176135169
2270,2014,"Akron, OH",1.5026070231852264,1.5480834726608461,1.936656142566958
2521,2015,"Akron, OH",1.5026070231852264,2.322125208991269,1.8540871089987467
2772,2016,"Akron, OH",1.5026070231852264,1.9351043408260575,1.7715180754305353
3031,2017,"Akron, OH",3.005214046370453,1.548083472660846,1.688949041862324
3287,2018,"Akron, OH",1.5026070231852264,0.774041736330423,1.6063800082941129
3782,2020,"Akron, OH",1.5026070231852264,1.517424196072609,1.5238109747259014
1565,2011,"Alameda, CA",7.541091670202063,2.2608066558147946,1.4412419411576902
2009,2013,"Alameda, CA",13.579576317218901,2.2608066558147946,1.3586729075894788
3032,2017,"Alameda, CA",13.579576317218901,2.2608066558147946,1.2761038740212676
3288,2018,"Alameda, CA",7.7254169011244205,2.2608066558147946,1.1935348404530561
402,2004,"Albany, GA",1.8712574850299402,2.1512988334237653,1.110965806884845
1176,2009,"Albany, GA",1.8712574850299402,2.0417910110327364,1.0283967733166337
1367,2010,"Albany, GA",1.8712574850299402,1.9322831886417071,0.9458277397484225
2773,2016,"Albany, GA",1.8712574850299402,1.822775366250678,0.8632587061802108
280,2003,"Albany, NY",2.532919736988343,1.713267543859649,0.7806896726119996
1368,2010,"Albany, NY",3.194581988946746,1.713267543859649,0.6981206390437884
1566,2011,"Albany, NY",3.194581988946746,1.713267543859649,0.6155516054755772
2522,2015,"Albany, NY",3.194581988946746,1.713267543859649,0.5329825719073655
3289,2018,"Albany, NY",3.262130085177884,1.713267543859649,0.4504135383391543
0,2000,"Albuquerque, NM",3.3296781814090215,0.9780380798402863,0.3678445047709432
177,2002,"Albuquerque, NM",3.397226277640159,0.2428086158209238,0.4414134057251319
281,2003,"Albuquerque, NM",3.464774373871297,0.2428086158209238,0.5149823066793204
676,2006,"Albuquerque, NM",3.532322470102434,0.2428086158209238,0.5885512076335091
841,2007,"Albuquerque, NM",3.5998705663335717,0.2428086158209238,0.6621201085876978
1177,2009,"Albuquerque, NM",3.6674186625647094,0.7284258474627713,0.7356890095418864
1369,2010,"Albuquerque, NM",3.734966758795847,1.2140430791046188,1.1035335143128298
1567,2011,"Albuquerque, NM",4.979955678394463,0.2428086158209238,1.839222523854716
1784,2012,"Albuquerque, NM",6.224944597993078,0.7284258474627714,0.3678445047709432
2010,2013,"Albuquerque, NM",7.469933517591694,1.2140430791046188,0.7356890095418864
2271,2014,"Albuquerque, NM",3.734966758795847,0.9712344632836952,1.4713780190837729
2523,2015,"Albuquerque, NM",3.734966758795847,0.4856172316418476,1.839222523854716
2774,2016,"Albuquerque, NM",3.734966758795847,0.7284258474627714,1.839222523854716
3033,2017,"Albuquerque, NM",3.734966758795847,1.9424689265673905,2.5749115333966026
3290,2018,"Albuquerque, NM",3.526070695026346,0.4856172316418476,3.3106005429384893
3528,2019,"Albuquerque, NM",3.317174631256845,0.7284258474627714,1.4713780190837729
3783,2020,"Albuquerque, NM",3.1082785674873445,0.4856172316418476,1.4713780190837729
523,2005,"Alexandria, VA",2.8993825037178436,0.9414866073530104,1.8198060481879659
677,2006,"Alexandria, VA",2.6904864399483426,0.9414866073530104,2.1682340772921584
1007,2008,"Alexandria, VA",3.3631080499354282,0.9414866073530104,2.5166621063963515
1178,2009,"Alexandria, VA",4.035729659922514,0.9414866073530104,2.8650901355005445
1785,2012,"Alexandria, VA",4.708351269909599,0.9414866073530104,3.2135181646047375
2011,2013,"Alexandria, VA",5.380972879896685,0.9414866073530104,3.56194619370893
2775,2016,"Alexandria, VA",5.699455336497659,0.9414866073530104,3.910374222813123
3034,2017,"Alexandria, VA",6.017937793098633,0.9414866073530104,3.668960796899099
1568,2011,"Alhambra, CA",6.336420249699606,4.805151122002787,3.427547370985075
3035,2017,"Alhambra, CA",6.654902706300581,3.680715486451648,3.1861339450710506
524,2005,"Allen, TX",6.973385162901554,2.556279850900509,9.420631182289213
2776,2016,"Allen, TX",7.291867619502527,1.43184421534937,6.7901671384089415
3036,2017,"Allen, TX",7.610350076103502,1.337233931191428,4.159703094528669
178,2002,"Amarillo, TX",7.555582036805327,1.242623647033486,1.5292390506483973
282,2003,"Amarillo, TX",7.500813997507152,1.148013362875544,1.5292390506483973
525,2005,"Amarillo, TX",7.446045958208977,1.148013362875544,1.5292390506483973
842,2007,"Amarillo, TX",7.391277918910802,1.148013362875544,1.5292390506483973
