,d_2000,d_2010,d_2020,change,%_change,Total Employees,population,police_hthou,city,party
0,0.17670342097823014,0.35340684195646027,0.5301102629346904,0.3534068419564603,200.00000000000006,484.0,565920.0,85.52445575346339,"Akron, OH",blue
1,1.2629930409083447,,,,,110.0,79177.0,138.9292344999179,"Alameda, CA",blue
2,0.16742846618782126,0.16742846618782126,,,,433.0,597270.0,72.4965258593266,"Albany, NY",blue
3,1.3141295206055508,,,,,69.0,76096.0,90.67493692178302,"Altoona, PA",red
4,1.4558018556620986,0.9705345704413991,0.48526728522069956,-0.970534570441399,-66.66666666666666,411.0,206072.0,199.44485422570753,"Amarillo, TX",red
5,0.28369035764843387,0.28369035764843387,0.5673807152968677,0.28369035764843387,100.0,562.0,352497.0,159.43398099841983,"Anaheim, CA",blue
6,1.6021532940271725,,,,,62.0,62416.0,99.33350422968469,"Ankeny, IA",blue
7,0.09562514941429595,0.09562514941429595,0.2868754482428879,0.19125029882859196,200.00000000000006,2140.0,5228750.0,40.927563949318674,"Atlanta, GA",blue
8,0.5455195118691408,,0.8182792678037112,0.27275975593457036,49.999999999999986,810.0,366623.0,220.935402307002,"Aurora, CO",blue
9,0.06102338660268161,0.24409354641072645,0.24409354641072645,0.18307015980804484,300.0,2361.0,1638716.0,144.0762157689313,"Austin, TX",blue
10,0.34821245138083645,0.6964249027616729,2.263380933975437,1.9151684825946007,550.0000000000001,530.0,574362.0,92.27629961592167,"Bakersfield, CA",red
11,0.46072248657454673,0.27643349194472805,0.3685779892596374,-0.09214449731490931,-19.999999999999993,2908.0,2170504.0,133.97809909587818,"Baltimore, MD",blue
12,0.6853856922309818,,0.5140392691732364,-0.1713464230577454,-24.999999999999993,814.0,583613.0,139.4759883690048,"Baton Rouge, LA",blue
13,1.3020324726898689,1.3020324726898689,1.3020324726898689,0.0,0.0,125.0,76803.0,162.7540590862336,"Battle Creek, MI",red
14,1.3020155200249988,,1.3020155200249988,0.0,0.0,235.0,76804.0,305.9736472058747,"Baytown, TX",blue
15,0.6923098224917615,,,,,215.0,144444.0,148.8466118357287,"Bellevue, WA",blue
16,2.794154628517142,,,,,90.0,35789.0,251.47391656654278,"Benton, AR",red
17,0.8175010627513817,1.6350021255027634,0.8175010627513817,0.0,0.0,263.0,122324.0,215.00277950361334,"Berkeley, CA",blue
18,2.8998956037582646,,,,,184.0,34484.0,533.5807910915207,"Beverly Hills, CA",blue
19,0.7413338077869703,,,,,161.0,134892.0,119.35474305370221,"Bloomington, IL",red
20,1.0188487009679064,2.0376974019358127,,,,287.0,98150.0,292.4095771777891,"Boca Raton, FL",blue
21,0.25959326926571447,,,,,363.0,385218.0,94.23235674345436,"Boise, ID",red
22,1.2869681604077117,1.2869681604077117,,,,202.0,77702.0,259.96756840235776,"Boynton Beach, FL",blue
23,3.225182222795588,,,,,60.0,31006.0,193.51093336773528,"Brooklyn Center, MN",blue
24,0.8670770831526923,,1.7341541663053845,0.8670770831526923,100.0,150.0,115330.0,130.06156247290383,"Carlsbad, CA",blue
25,3.044325377496347,,6.088650754992694,3.044325377496347,100.0,89.0,32848.0,270.9449585971749,"Carlsbad, NM",red
26,0.5371723248818221,,,,,280.0,186160.0,150.40825096691017,"Cedar Rapids, IA",blue
27,2.0535145902211633,,,,,62.0,48697.0,127.31790459371214,"Ceres, CA",blue
28,1.2755590137377706,,,,,141.0,156794.0,89.92691046851283,"Champaign, IL",blue
29,0.7890853711463043,,0.7890853711463043,0.0,0.0,497.0,253458.0,196.08771472985663,"Chandler, AZ",red
30,0.49118084787637956,0.49118084787637956,0.49118084787637956,0.0,0.0,523.0,407182.0,128.44379171967327,"Chattanooga, TN",red
31,0.16136501896845798,0.27662574680307084,0.2305214556692257,0.06915643670076771,42.85714285714286,13135.0,8675982.0,151.39496601076397,"Chicago, IL",blue
32,0.1213405215458297,0.18201078231874457,0.1213405215458297,0.0,0.0,1292.0,1648254.0,78.38597691860599,"Cincinnati, OH",blue
33,0.5468993541118627,,,,,348.0,182849.0,190.32097523092824,"Clarksville, TN",red
34,0.8657034273198688,0.8657034273198688,0.8657034273198688,0.0,0.0,352.0,115513.0,304.7276064165938,"Clearwater, FL",red
35,0.2889567102394122,0.17337402614364733,0.2889567102394122,0.0,0.0,1678.0,1730363.0,96.97387195634673,"Cleveland, OH",blue
36,1.3899699766485045,,,,,103.0,71944.0,143.16690759479596,"Cleveland, TN",red
37,1.154641079820338,1.154641079820338,1.154641079820338,0.0,0.0,178.0,86607.0,205.52611220802015,"Clifton, NJ",blue
38,0.4808108393995634,0.16027027979985448,0.8013513989992724,0.32054055959970906,66.6666666666667,924.0,623946.0,148.08973853506555,"Colorado Springs, CO",red
39,0.17662664306934714,,0.3532532861386943,0.17662664306934714,100.0,424.0,566166.0,74.88969666140319,"Columbia, SC",blue
40,1.7881730236217654,1.7881730236217654,5.364519070865297,3.576346047243532,200.00000000000006,120.0,55923.0,214.58076283461187,"Commerce City, CO",blue
41,0.3054507689723109,0.15272538448615544,0.15272538448615544,-0.15272538448615544,-50.0,201.0,654770.0,30.697802281717244,"Concord, CA",blue
42,1.1851430467657447,1.1851430467657447,,,,162.0,84378.0,191.99317357605062,"Conroe, TX",red
43,0.5958197287828595,0.5958197287828595,,,,225.0,167836.0,134.05943897614338,"Corona, CA",blue
44,0.29288151478319446,,1.4644075739159723,1.1715260591327779,400.0,625.0,341435.0,183.05094673949654,"Corpus Christi, TX",red
45,0.8785416209092907,,,,,172.0,113825.0,151.109158796398,"Costa Mesa, CA",blue
