,county,date,Latitude,Longitude,death_count
0,Abbeville,2007,31.5713179,-85.2479295,1
1,Abbeville,2017,31.572777000000002,-85.2805099,1
2,Aberdeen,2011,46.979857200000005,-123.84564340000001,1
3,Aberdeen,2014,39.5203225,-76.1804767,1
4,Aberdeen,2018,35.12747230000001,-79.4635336,2
5,Aberdeen,2019,46.973436,-123.81707,1
6,Abilene,2005,32.4383889,-99.63963690000001,1
7,Abilene,2006,32.4487364,-99.7331439,1
8,Abilene,2008,38.9285367,-97.20462950000001,1
9,Abilene,2011,35.7079545,-98.48264094999999,2
10,Abilene,2012,32.4107721,-99.80635776666666,3
11,Abilene,2014,32.5480734,-99.71850429999999,1
12,Abilene,2017,32.4314782,-99.71271490000001,1
13,Abilene,2018,35.690690000000004,-98.51193955,2
14,Abilene,2019,32.442737699999995,-99.7010029,1
15,Abilene,2020,32.47095815,-99.74601279999999,2
16,Abingdon,2008,36.7098335,-81.97734820000001,1
17,Abingdon,2016,39.468766200000005,-76.3089671,1
18,Abingdon,2017,36.64874525,-81.96244684999999,2
19,Abington,2000,42.134997,-70.943093,1
20,Abington,2009,40.1321937,-75.1233722,1
21,Abita Springs,2013,30.521279999999997,-89.931772,1
22,Acampo,2004,38.1898694,-121.31659750000001,1
23,Acampo,2012,38.1602032,-121.26337279999998,1
24,Accokeek,2007,38.642536,-77.02945600000001,1
25,Accomac,2003,37.7435424,-75.6601938,1
26,Ackley,2012,42.545367999999996,-93.05333890000001,1
27,Acton,2003,43.5002194,-70.9585968,1
28,Acworth,2004,34.0804965,-84.69691259999999,1
29,Acworth,2007,34.076356200000006,-84.6535366,1
30,Acworth,2010,34.1331022,-84.62436559999999,1
31,Acworth,2013,34.040912,-84.730418,1
32,Acworth,2016,34.133044899999994,-84.6767607,1
33,Ada,2010,40.7769008,-83.8229117,1
34,Ada,2013,47.3540342,-96.5587955,1
35,Ada,2019,34.780409033333335,-96.67752993333333,3
36,Ada,2020,34.8543777,-96.82972009999999,1
37,Adair,2008,36.461098,-95.348692,1
38,Adairsville,2006,34.3805312,-84.91425809999998,1
39,Adairsville,2014,34.374004,-84.98782840000001,1
40,Adairsville,2020,34.3770865,-84.9327349,1
41,Adamson,2008,34.924278,-95.546456,1
42,Addis,2001,30.356586,-91.25489820000001,1
43,Addis,2016,30.3584298,-91.2540333,1
44,Addison,2006,32.9541738,-96.84579140000001,1
45,Addison,2012,39.361410766666665,-87.73756573333333,3
46,Addison,2016,32.9400024,-96.8557398,1
47,Addison,2019,41.9192119,-88.0211137,1
48,Adel,2004,41.563590600000005,-93.9468888,1
49,Adel,2005,31.160925,-83.53720600000001,1
50,Adel,2020,31.1711488,-83.3567934,1
51,Adelanto,2006,34.6015095,-117.43605420000002,1
52,Adelanto,2008,34.630534999999995,-117.38311100000001,1
53,Adelanto,2010,34.584305,-117.42465600000001,3
54,Adelanto,2019,34.5793739,-117.4249775,1
55,Adelphi,2011,39.0031924,-76.9719093,1
56,Adger,2015,33.527183199999996,-87.22735920000001,1
57,Adolphus,2003,36.6697475,-86.2666463,1
58,Adrian,2000,41.8875484,-84.02362109999999,1
59,Adrian,2001,38.7877851,-83.57676400000001,3
60,Adrian,2003,41.905530600000006,-84.07935520000001,1
61,Adrian,2009,38.440835,-94.370497,1
62,Adrian,2015,41.896953100000005,-84.01904240000002,1
63,Adrian,2019,41.90169960000001,-84.0247767,1
64,Adrian,2020,38.404612,-94.342638,1
65,Affton,2000,38.5656635,-90.3208547,1
66,Affton,2005,38.5569167,-90.30767,1
67,Affton,2009,38.561543900000004,-90.2991097,1
68,Affton,2013,38.5403908,-90.32854499999999,1
69,Affton,2017,38.5412697,-90.3072099,1
70,Afton,2002,38.56294929999999,-90.357749,1
71,Afton,2007,36.1333633,-82.74464909999999,2
72,Afton,2013,38.0346735,-78.8454265,1
73,Afton,2015,36.147443,-82.70721879999999,1
74,Agoura Hills,2007,34.082133,-118.704531,1
75,Aguanga,2015,33.4765876,-116.81805049999998,1
76,Aguanga,2020,33.4698089,-116.7502374,1
77,Ahwatukee,2002,33.3141988,-111.9914896,1
78,Aiea,2002,21.3786458,-157.9321748,1
79,Aiea,2008,21.384859699999996,-157.9404304,1
80,Aiea,2011,21.3896597,-157.9520233,1
81,Aiea,2017,21.387109699999996,-157.9400179,1
82,Aiken,2009,33.493476,-81.7006532,1
83,Aiken,2012,33.525249,-81.758768,1
84,Aiken,2013,33.5250798,-81.715572,1
85,Aiken,2014,33.4483627,-81.5898156,1
86,Aiken,2015,33.570158899999996,-81.73370190000001,1
87,Aiken,2020,33.58382335,-81.7329804,2
88,Ailey,2001,32.260842100000005,-82.50647049999999,1
89,Ajo,2005,32.3717248,-112.86070990000002,1
90,Akron,2000,41.090236,-81.574747,1
91,Akron,2001,41.1382411,-81.540819,1
92,Akron,2002,41.072676,-81.49946249999999,2
93,Akron,2003,41.07272283333333,-81.50351760000001,3
94,Akron,2004,41.0443836,-81.4450087,1
95,Akron,2005,41.04773083333334,-81.46612,3
96,Akron,2007,41.0671145,-81.53329775,2
97,Akron,2008,41.0658513,-81.5479505,1
98,Akron,2010,41.1688075,-81.6262265,2
99,Akron,2012,41.0644893,-81.4998947,2
100,Akron,2013,41.0659091,-81.5204926,1
101,Akron,2014,41.085442,-81.567132,1
102,Akron,2015,41.043704475,-81.48532335,4
103,Akron,2016,41.041962,-81.5632706,1
104,Akron,2017,41.066961575,-81.530745025,4
105,Akron,2018,41.0338377,-81.5305754,3
106,Akron,2019,41.08331200000001,-81.47832715000001,2
107,Akron,2020,41.0679642,-81.52722276666667,3
108,Alabaster,2004,33.2153859,-86.792428,1
109,Alabaster,2010,33.264648,-86.816556,1
110,Alameda,2000,37.7642723,-122.2675352,1
111,Alameda,2011,37.766381,-122.27336880000001,1
112,Alameda,2013,37.7594473,-122.2309855,1
113,Alameda,2017,37.7723933,-122.2499155,1
114,Alameda,2018,37.76870220000001,-122.241304,1
115,Alamo,2012,37.86305,-122.03445659999998,1
116,Alamo,2016,35.858567799999996,-89.1277472,1
117,Alamo,2017,35.7997875,-89.1593396,1
118,Alamo Heights,2013,29.476681199999998,-98.46167249999999,1
119,Alamogordo,2010,32.9510029,-106.02135940000001,1
120,Alamogordo,2016,32.885053899999996,-105.95234380000001,1
121,Alamogordo,2018,32.905736950000005,-105.9472566,2
122,Alamogordo,2019,32.8489549,-106.02280390000001,1
123,Alamosa,2013,37.469449100000006,-105.87002140000001,1
124,Alamosa,2018,37.5758444,-105.86977466666667,3
125,Alanson,2006,45.4137721,-84.7504172,1
126,Alaska Township,2018,47.7893635,-95.0131707,1
127,Albany,2000,42.675512700000006,-73.7468473,1
128,Albany,2002,42.6411497,-73.7612234,1
129,Albany,2003,42.655854299999994,-73.7642027,1
130,Albany,2004,31.571507,-84.15812,1
131,Albany,2006,44.60789929999999,-123.0676459,1
132,Albany,2007,44.614305,-123.0729071,1
133,Albany,2009,31.5867669,-84.1662562,2
134,Albany,2010,37.111411000000004,-78.969526,2
135,Albany,2011,42.665834000000004,-73.777721,2
136,Albany,2013,32.718000599999996,-99.28800179999999,1
137,Albany,2015,42.661048,-73.757971,1
138,Albany,2016,31.569189,-84.16187,1
139,Albany,2017,31.570070899999997,-84.0867021,1
140,Albany,2018,42.6674239,-73.7779156,1
141,Albany,2019,44.6353841,-123.0846621,1
142,Albemarle,2011,35.365630700000004,-80.20170920000001,1
143,Albemarle,2017,35.354889,-80.174516,1
