,date,black,white,latino
0,2000-01-01,0.29491833030852993,0.06386715631486507,0.09615384615384616
1,2000-02-01,0.18148820326678766,0.04390866996646974,0.11538461538461539
2,2000-03-01,0.3629764065335753,0.06785885358454415,0.09615384615384616
3,2000-04-01,0.29491833030852993,0.04390866996646974,0.057692307692307696
4,2000-05-01,0.18148820326678766,0.03592527542711161,0.057692307692307696
5,2000-06-01,0.20417422867513613,0.031933578157432536,0.057692307692307696
6,2000-07-01,0.2722323049001815,0.019958486348395338,0.07692307692307693
7,2000-08-01,0.1588021778584392,0.03592527542711161,0.07692307692307693
8,2000-09-01,0.24954627949183303,0.031933578157432536,0.23076923076923078
9,2000-10-01,0.1588021778584392,0.06386715631486507,0.057692307692307696
10,2000-11-01,0.3176043557168784,0.023950183618074404,0.09615384615384616
11,2000-12-01,0.09074410163339383,0.015966789078716268,0.019230769230769232
12,2001-01-01,0.18148820326678766,0.023950183618074404,0.1346153846153846
13,2001-02-01,0.20417422867513613,0.03592527542711161,0.19230769230769232
14,2001-03-01,0.06805807622504538,0.02794188088775347,0.057692307692307696
15,2001-04-01,0.20417422867513613,0.03592527542711161,0.15384615384615385
16,2001-05-01,0.13611615245009076,0.039916972696790676,0.23076923076923078
17,2001-06-01,0.20417422867513613,0.08382564266326042,0.057692307692307696
18,2001-07-01,0.18148820326678766,0.02794188088775347,0.11538461538461539
19,2001-08-01,0.1588021778584392,0.023950183618074404,0.15384615384615385
20,2001-09-01,0.20417422867513613,0.04790036723614881,0.019230769230769232
21,2001-10-01,0.18148820326678766,0.031933578157432536,0.11538461538461539
22,2001-11-01,0.1588021778584392,0.023950183618074404,0.1346153846153846
23,2001-12-01,0.20417422867513613,0.06785885358454415,0.07692307692307693
24,2002-01-01,0.2722323049001815,0.039916972696790676,0.15384615384615385
25,2002-02-01,0.11343012704174228,0.039916972696790676,0.19230769230769232
26,2002-03-01,0.29491833030852993,0.03592527542711161,0.15384615384615385
27,2002-04-01,0.3176043557168784,0.06386715631486507,0.1346153846153846
28,2002-05-01,0.2722323049001815,0.03592527542711161,0.1346153846153846
29,2002-06-01,0.22686025408348456,0.059875459045186014,0.09615384615384616
30,2002-07-01,0.29491833030852993,0.04790036723614881,0.11538461538461539
31,2002-08-01,0.2722323049001815,0.039916972696790676,0.038461538461538464
32,2002-09-01,0.20417422867513613,0.03592527542711161,0.17307692307692307
33,2002-10-01,0.13611615245009076,0.031933578157432536,0.19230769230769232
34,2002-11-01,0.3176043557168784,0.05189206450582788,0.1346153846153846
35,2002-12-01,0.1588021778584392,0.06785885358454415,0.1346153846153846
36,2003-01-01,0.24954627949183303,0.04790036723614881,0.21153846153846154
37,2003-02-01,0.7032667876588022,0.03592527542711161,0.15384615384615385
38,2003-03-01,0.22686025408348456,0.07185055085422322,0.15384615384615385
39,2003-04-01,0.20417422867513613,0.05588376177550694,0.1346153846153846
40,2003-05-01,0.29491833030852993,0.039916972696790676,0.1346153846153846
41,2003-06-01,0.24954627949183303,0.05588376177550694,0.17307692307692307
42,2003-07-01,0.22686025408348456,0.059875459045186014,0.19230769230769232
43,2003-08-01,0.24954627949183303,0.05189206450582788,0.09615384615384616
44,2003-09-01,0.2722323049001815,0.059875459045186014,0.23076923076923078
45,2003-10-01,0.20417422867513613,0.04390866996646974,0.15384615384615385
46,2003-11-01,0.24954627949183303,0.06386715631486507,0.15384615384615385
47,2003-12-01,0.4537205081669691,0.02794188088775347,0.07692307692307693
48,2004-01-01,0.3856624319419238,0.039916972696790676,0.23076923076923078
49,2004-02-01,0.13611615245009076,0.06386715631486507,0.19230769230769232
50,2004-03-01,0.18148820326678766,0.07983394539358135,0.15384615384615385
51,2004-04-01,0.24954627949183303,0.03592527542711161,0.1346153846153846
52,2004-05-01,0.29491833030852993,0.04790036723614881,0.17307692307692307
53,2004-06-01,0.2722323049001815,0.07983394539358135,0.15384615384615385
54,2004-07-01,0.2722323049001815,0.05189206450582788,0.17307692307692307
55,2004-08-01,0.2722323049001815,0.06785885358454415,0.15384615384615385
56,2004-09-01,0.3176043557168784,0.039916972696790676,0.1346153846153846
57,2004-10-01,0.3176043557168784,0.06386715631486507,0.2692307692307692
58,2004-11-01,0.2722323049001815,0.05189206450582788,0.11538461538461539
59,2004-12-01,0.18148820326678766,0.06785885358454415,0.17307692307692307
60,2005-01-01,0.40834845735027225,0.06386715631486507,0.28846153846153844
61,2005-02-01,0.24954627949183303,0.06386715631486507,0.25
62,2005-03-01,0.2722323049001815,0.08781733993293948,0.17307692307692307
63,2005-04-01,0.2722323049001815,0.06785885358454415,0.11538461538461539
64,2005-05-01,0.3856624319419238,0.11975091809037203,0.23076923076923078
65,2005-06-01,0.4537205081669691,0.07185055085422322,0.09615384615384616
66,2005-07-01,0.3176043557168784,0.08382564266326042,0.2692307692307692
67,2005-08-01,0.3176043557168784,0.07185055085422322,0.17307692307692307
68,2005-09-01,0.3176043557168784,0.06785885358454415,0.23076923076923078
69,2005-10-01,0.2722323049001815,0.07983394539358135,0.1346153846153846
70,2005-11-01,0.24954627949183303,0.11176752355101388,0.11538461538461539
71,2005-12-01,0.49909255898366606,0.08781733993293948,0.15384615384615385
72,2006-01-01,0.22686025408348456,0.09979243174197669,0.3076923076923077
73,2006-02-01,0.34029038112522686,0.07584224812390228,0.21153846153846154
74,2006-03-01,0.29491833030852993,0.07983394539358135,0.28846153846153844
75,2006-04-01,0.4537205081669691,0.06785885358454415,0.15384615384615385
76,2006-05-01,0.4537205081669691,0.11176752355101388,0.3653846153846154
