,county,date,Latitude,Longitude,death_count
101,Adams,07/2018,39.8195012,-105.0015426,2
102,Adams,08/2005,39.82407240000001,-104.9630952,1
103,Adams,08/2013,39.871257899999996,-104.95138500000002,1
104,Adams,08/2018,39.768903200000004,-104.90631656666666,3
105,Adams,08/2019,39.7457277,-104.8242997,1
106,Adams,09/2001,39.8105542,-105.02540259999998,1
107,Adams,09/2012,43.9919451,-89.8157137,1
108,Adams,09/2013,39.931816,-91.387084,1
109,Adams,09/2016,39.915963700000006,-104.9968652,1
110,Adams,09/2017,43.490852149999995,-111.6451614,2
111,Adams,09/2018,39.872178999999996,-105.0295328,1
112,Adams,10/2002,39.785006700000004,-105.02711299999999,1
113,Adams,10/2006,39.8611865,-105.0638939,1
114,Adams,10/2011,39.8232899,-104.9124125,1
115,Adams,10/2019,40.5971203,-98.45052170000001,1
116,Adams,11/2009,39.9141137,-105.02503119999999,2
117,Adams,11/2015,42.3839742,-110.617114,2
118,Adams,11/2019,39.801442800000004,-104.75080855000002,2
119,Adams,12/2003,39.8993749,-104.9402304,1
120,Adams,12/2017,39.870107399999995,-104.96662325,2
121,Adams,12/2019,39.8634939,-105.02517420000001,1
122,Addison,07/2003,44.1672771,-73.25401109999999,1
123,Addison,10/2012,44.046974,-73.090347,1
124,Addison,11/2011,43.8898809,-73.0649823,1
125,Aiken,01/2009,33.493476,-81.7006532,1
126,Aiken,01/2013,33.491194199999995,-81.94587290000001,2
127,Aiken,01/2017,33.6411626,-81.2453693,1
128,Aiken,04/2017,33.491486800000004,-81.9684735,1
129,Aiken,04/2020,33.5422201,-81.7195986,1
130,Aiken,05/2012,33.525249,-81.758768,1
131,Aiken,05/2020,33.517918,-81.95956269999999,1
132,Aiken,06/2009,33.5028547,-81.87408690000001,1
133,Aiken,06/2014,33.4483627,-81.5898156,1
134,Aiken,06/2015,33.530218,-81.97518149999999,1
135,Aiken,06/2020,33.6254266,-81.7463622,1
136,Aiken,07/2009,33.4213029,-81.8823115,1
137,Aiken,07/2011,33.6843029,-81.414741,1
138,Aiken,08/2010,33.496878,-81.891899,1
139,Aiken,09/2000,33.523077,-81.94257009999998,1
140,Aiken,11/2006,33.4905212,-81.9810507,1
141,Aiken,11/2015,33.570158899999996,-81.73370190000001,1
142,Aiken,11/2016,33.458878999999996,-81.848789,1
143,Aiken,12/2013,33.5250798,-81.715572,1
144,Aitkin,03/2016,46.6206768,-93.57026390000001,1
145,Aitkin,05/2018,46.1720057,-93.2775917,1
146,Alachua,01/2001,29.6722047,-82.3350765,1
147,Alachua,01/2017,29.6123913,-82.34076440000001,1
148,Alachua,02/2009,29.8162489,-82.2052014,1
149,Alachua,03/2010,29.642856,-82.185225,1
150,Alachua,03/2012,29.613203600000002,-82.34182220000001,1
151,Alachua,03/2014,29.622358600000002,-82.3811493,1
152,Alachua,03/2016,29.6404206,-82.4055113,1
153,Alachua,05/2007,29.660237899999995,-82.3113786,1
154,Alachua,05/2009,29.688575300000004,-82.37232159999999,1
155,Alachua,06/2011,29.768539899999997,-82.2798051,1
156,Alachua,06/2012,29.632923649999995,-82.34483665,2
157,Alachua,06/2013,29.6333149,-82.41557359999999,1
158,Alachua,07/2003,29.642235600000003,-82.2907377,1
159,Alachua,07/2015,29.511686800000003,-82.27386750000001,1
160,Alachua,08/2004,29.740505,-82.2362969,1
161,Alachua,09/2003,29.6880755,-82.3382615,1
162,Alachua,09/2005,29.837768199999996,-82.6224575,1
163,Alamance,01/2020,36.077681,-79.386217,1
164,Alamance,03/2017,36.11971320000001,-79.4644959,1
165,Alamance,04/2017,36.1292474,-79.381345,1
166,Alamance,05/2020,36.0707264,-79.4020318,1
167,Alamance,06/2017,36.067352500000005,-79.3000836,1
168,Alamance,07/2004,36.108008899999994,-79.4340699,1
169,Alamance,07/2009,36.0976439,-79.45251390000001,1
170,Alamance,07/2018,36.104756200000004,-79.4783203,1
171,Alamance,08/2020,36.092436299999996,-79.4130203,1
172,Alamance,09/2020,36.093775,-79.39886290000001,1
173,Alamance,12/2019,36.101514,-79.40081500000001,1
174,Alameda,01/2000,37.7556261,-122.1674199,1
175,Alameda,01/2001,37.74943985,-122.17507735000001,2
176,Alameda,01/2002,37.6683826,-122.0933559,1
177,Alameda,01/2005,37.576880700000004,-122.0270594,1
178,Alameda,01/2006,37.741525200000005,-122.1962145,1
179,Alameda,01/2009,37.7751503,-122.224263,1
180,Alameda,01/2010,37.8368646,-122.2623926,1
181,Alameda,01/2011,37.671629700000004,-122.09610785000002,6
182,Alameda,01/2012,37.520683,-122.00994320000001,2
183,Alameda,01/2013,37.7648601,-122.1295899,1
184,Alameda,01/2014,37.7464301,-122.10037493333334,3
185,Alameda,01/2015,37.5864513,-122.0599902,1
186,Alameda,01/2016,37.60446973333333,-122.08691683333332,3
187,Alameda,01/2018,37.80562020000001,-122.2959994,1
188,Alameda,01/2020,37.86830689999999,-122.2976882,1
189,Alameda,02/2002,37.7702938,-122.19216680000001,1
190,Alameda,02/2003,37.7551421,-122.15035630000001,1
191,Alameda,02/2004,37.4761488,-121.92350959999999,1
192,Alameda,02/2005,37.852157,-122.2866063,1
193,Alameda,02/2007,37.797856450000005,-122.22966595000001,2
194,Alameda,02/2008,37.858194899999994,-122.2753756,1
195,Alameda,02/2010,37.515185200000005,-121.94739969999999,1
196,Alameda,02/2013,37.8693034,-122.26702879999999,2
197,Alameda,02/2014,37.70151913333333,-122.12971256666667,3
198,Alameda,02/2015,37.827484000000005,-122.2846188,1
199,Alameda,02/2017,37.688195199999996,-122.13306343333333,3
200,Alameda,02/2020,37.594417299999996,-122.02275220000001,1
201,Alameda,03/2000,37.762080100000006,-122.1828789,1
202,Alameda,03/2001,37.852157,-122.2866063,1
203,Alameda,03/2002,37.7885463,-122.24673600000001,1
204,Alameda,03/2004,37.870260200000004,-122.2731962,1
205,Alameda,03/2006,37.5414344,-122.0256408,1
206,Alameda,03/2008,37.76071505,-122.18088209999999,2
207,Alameda,03/2009,37.7677018,-122.17256359999999,1
208,Alameda,03/2011,37.888615,-122.277217,1
209,Alameda,03/2013,37.68431095,-122.1178286,4
210,Alameda,03/2014,37.6484424,-122.09454464999999,2
211,Alameda,03/2016,37.60727059999999,-121.89214634999999,2
212,Alameda,03/2017,37.660663899999996,-122.06531729999999,1
213,Alameda,03/2018,37.830712299999995,-122.2739341,1
214,Alameda,03/2019,37.697703000000004,-122.11702749999999,1
215,Alameda,04/2000,37.8453103,-122.29654755000001,2
216,Alameda,04/2001,37.801551700000005,-122.21433229999998,1
217,Alameda,04/2004,37.5730219,-121.8845185,1
218,Alameda,04/2006,37.79058623333333,-122.23643206666667,3
219,Alameda,04/2008,37.7043543,-122.1727226,2
220,Alameda,04/2009,37.6813289,-122.07635619999999,1
221,Alameda,04/2010,37.7611229,-122.1911019,1
222,Alameda,04/2011,37.69822385,-122.00023110000001,2
223,Alameda,04/2013,37.72816185,-122.14270350000001,2
224,Alameda,04/2017,37.571362799999996,-122.03106969999999,1
225,Alameda,04/2018,37.56663579999999,-122.022825,1
226,Alameda,04/2019,37.556975,-121.979161,1
227,Alameda,04/2020,37.6881557,-122.1314913,1
228,Alameda,05/2000,37.7642723,-122.2675352,1
229,Alameda,05/2001,37.6698401,-122.0870767,1
230,Alameda,05/2002,37.8063891,-122.2385624,1
231,Alameda,05/2003,37.759083200000006,-122.1869801,1
232,Alameda,05/2006,37.75561210000001,-122.16136920000001,2
233,Alameda,05/2007,37.7642896,-122.1715768,1
234,Alameda,05/2009,37.84102265,-122.26959839999999,2
235,Alameda,05/2011,37.785381875,-122.22685132500001,4
236,Alameda,05/2012,37.7512415,-122.16828600000001,1
237,Alameda,05/2013,37.761375,-122.17362,1
238,Alameda,05/2014,37.725065,-122.04203755,2
239,Alameda,05/2017,37.6630019,-121.84996340000001,1
