,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,change,%_change,city,party
0,22.79098388677439,45.58196777354878,,22.79098388677439,,,,,,,,,,,,22.79098388677439,,,,22.79098388677439,0.0,0.0,"Adrian, MI",red
1,1.7670342097823013,1.7670342097823013,3.5340684195646026,5.301102629346904,1.7670342097823013,5.301102629346904,,3.5340684195646026,1.7670342097823013,,3.5340684195646026,,3.5340684195646026,1.7670342097823013,1.7670342097823013,7.068136839129205,1.7670342097823013,7.068136839129205,5.301102629346904,3.5340684195646026,1.7670342097823013,100.0,"Akron, OH",blue
2,12.629930409083446,,,,,,,,,,,12.629930409083446,,12.629930409083446,,,,12.629930409083446,12.629930409083446,,,,"Alameda, CA",blue
3,1.6742846618782126,,1.6742846618782126,1.6742846618782126,,,,,,,1.6742846618782126,3.348569323756425,,,,1.6742846618782126,,,1.6742846618782126,,,,"Albany, NY",blue
4,5.273406343644161,6.591757929555202,7.910109515466242,7.910109515466242,9.228461101377283,6.591757929555202,6.591757929555202,5.273406343644161,5.273406343644161,3.955054757733121,14.501867445021443,7.910109515466242,7.910109515466242,11.865164273199362,14.501867445021443,9.228461101377283,10.546812687288321,23.730328546398724,15.820219030932485,10.546812687288321,5.273406343644161,100.0,"Albuquerque, NM",blue
5,973.7098344693281,,,,,,,,,,,,,,,,,,,,,,"Altamont, TN",red
6,13.141295206055508,,,,,13.141295206055508,,,,,,,,13.141295206055508,,,,,,,,,"Altoona, PA",red
7,52.82341133590407,,,,,52.82341133590407,,,,,,,,,,,,,,,,,"Altus, OK",red
8,14.558018556620986,,4.852672852206996,24.26336426103498,,4.852672852206996,,9.705345704413991,4.852672852206996,,9.705345704413991,19.410691408827983,9.705345704413991,14.558018556620986,24.26336426103498,9.705345704413991,14.558018556620986,9.705345704413991,14.558018556620986,19.410691408827983,4.852672852206997,33.33333333333334,"Amarillo, TX",red
9,2604.1666666666665,,,,,,,,,,,,,,,,,,,,,,"Ambrose, GA",red
10,2.836903576484339,,5.673807152968678,11.347614305937356,2.836903576484339,5.673807152968678,11.347614305937356,5.673807152968678,8.510710729453017,17.021421458906033,2.836903576484339,5.673807152968678,14.184517882421694,,14.184517882421694,8.510710729453017,14.184517882421694,5.673807152968678,11.347614305937356,8.510710729453017,5.673807152968678,200.0,"Anaheim, CA",blue
11,16.021532940271726,,,,,16.021532940271726,,,,16.021532940271726,,,,,16.021532940271726,,,,16.021532940271726,,,,"Ankeny, IA",blue
12,630.517023959647,,,,,,,,,,,,,,,,,,,,,,"Arapahoe, WY",red
13,47.364183204660634,,,,,,,,,,,,,,,,,47.364183204660634,,,,,"Arnold, MO",red
14,650.6180871828237,,,,,,,,,,,,,,,,,,,,,,"Ashley, OH",red
15,0.9562514941429595,1.7212526894573272,1.912502988285919,0.7650011953143677,1.1475017929715516,1.5300023906287354,2.486253884771695,0.38250059765718386,1.912502988285919,0.19125029882859193,0.9562514941429595,1.7212526894573272,1.7212526894573272,1.1475017929715516,0.5737508964857758,0.9562514941429595,1.1475017929715516,1.7212526894573272,1.912502988285919,1.912502988285919,0.9562514941429595,100.0,"Atlanta, GA",blue
16,45.466945530599254,,,,,,,,,,45.466945530599254,,,,,,,,,,,,"Augusta, ME",red
17,1107.4197120708748,,,,,,,,,,,,,,,,,,,,,,"Augusta, MI",blue
18,5.455195118691408,10.910390237382815,,10.910390237382815,5.455195118691408,2.727597559345704,5.455195118691408,2.727597559345704,2.727597559345704,2.727597559345704,,16.365585356074224,8.182792678037112,2.727597559345704,5.455195118691408,10.910390237382815,5.455195118691408,,19.093182915419927,13.637987796728519,8.18279267803711,149.99999999999997,"Aurora, CO",blue
19,138.6001386001386,138.6001386001386,,554.4005544005544,138.6001386001386,277.2002772002772,,138.6001386001386,,138.6001386001386,,,,277.2002772002772,,,,138.6001386001386,138.6001386001386,,,,"Austell, GA",blue
20,0.6102338660268162,1.2204677320536323,0.6102338660268162,1.2204677320536323,1.2204677320536323,1.8307015980804484,0.6102338660268162,2.4409354641072647,0.6102338660268162,1.8307015980804484,2.4409354641072647,1.8307015980804484,1.8307015980804484,3.661403196160897,4.271637062187713,4.881870928214529,4.271637062187713,3.661403196160897,3.661403196160897,4.881870928214529,4.271637062187713,699.9999999999999,"Austin, TX",blue
21,3.4821245138083645,5.223186770712547,,,15.669560312137643,6.964249027616729,6.964249027616729,10.446373541425094,3.4821245138083645,15.669560312137643,6.964249027616729,15.669560312137643,3.4821245138083645,17.410622569041827,8.705311284520914,13.928498055233458,12.187435798329277,13.928498055233458,5.223186770712547,8.705311284520914,5.223186770712549,150.00000000000006,"Bakersfield, CA",red
22,4.607224865745468,1.8428899462981871,0.9214449731490936,1.8428899462981871,1.8428899462981871,2.7643349194472804,2.7643349194472804,6.450114812043655,3.2250574060218273,5.528669838894561,2.7643349194472804,2.303612432872734,5.989392325469108,7.371559785192749,3.2250574060218273,1.8428899462981871,4.607224865745468,2.7643349194472804,0.9214449731490936,2.7643349194472804,-1.8428899462981874,-40.00000000000001,"Baltimore, MD",blue
23,6.853856922309818,3.426928461154909,,1.7134642305774546,6.853856922309818,6.853856922309818,5.140392691732364,5.140392691732364,1.7134642305774546,3.426928461154909,,3.426928461154909,3.426928461154909,6.853856922309818,6.853856922309818,6.853856922309818,8.567321152887272,13.707713844619636,3.426928461154909,5.140392691732364,-1.7134642305774541,-24.999999999999993,"Baton Rouge, LA",blue
